Country; Number; Position; FIFA Display Name; Last Name; First Name; Shirt Name; Date of Birth; Club; Club Country; Height
Brazil;16; Defender; GILBERTO MELO; DA SILVA MELO; Gilberto; GILBERTO;25-abr.-76; Cruzeiro; BRA;180
Brazil;17; Midfielder; JOSUE; DE OLIVEIRA; Josué Anunciado; JOSUÉ;19-jul.-79; Wolfsburg; GER;169
Brazil;18; Midfielder; RAMIRES; SANTOS DO NASCIMENTO; Ramires; RAMIRES;24-mar.-87; Benfica; POR;179
Brazil;19; Midfielder; JULIO BAPTISTA; BAPTISTA; Julio Cesar J.; BAPTISTA;01-oct.-81; AS Roma; ITA;185
Brazil;20; Midfielder; KLEBERSON; PEREIRA; José Kleberson; KLEBERSON;19-jun.-79; Flamengo; BRA;175
Brazil;21; Forward; NILMAR; HONORATO DA SILVA; Nilmar; NILMAR;14-jul.-84; Villarreal; ESP;180
Brazil;22; Goalkeeper; DONI; MARANGON; Donieber Alexander; DONI;22-oct.-79; AS Roma; ITA;194
Brazil;23; Forward; GRAFITE; LIBANIO BATISTA; Edinaldo; GRAFITE;02-abr.-79; Wolfsburg; GER;189
Cameroon;1; Goalkeeper; Idriss KAMENI; KAMENI; Idris Carlos; KAMENI;18-feb.-84; Espanyol; ESP;185
Cameroon;2; Defender; Benoit ASSOU-EKOTTO; ASSOU-EKOTTO; Benoit; ASSOU EKOTTO;24-mar.-84; Tottenham Hotspur; ENG;178
Cameroon;3; Defender; Nicolas NKOULOU; NKOULOU NDOUBENA; Nicolas Julio; NKOULOU;27-mar.-90; Monaco; FRA;185
Cameroon;4; Defender; Rigobert SONG; SONG BAHANAG; Rigobert; SONG;01-jul.-76; Trabzonspor; TUR;185
Cameroon;5; Defender; Sebastien BASSONG; BASSONG NGUEMA; Sebastien Aymer; BASSONG;09-jul.-86; Tottenham Hotspur; ENG;187
Cameroon;6; Midfielder; Alexandre SONG; SONG BILONG; Alexandre Dimitri; A. SONG;09-sep.-87; Arsenal; ENG;183
Cameroon;7; Midfielder; Landry NGUEMO; TSAFACK NGUEMO; Joel Landry; NGUEMO;28-nov.-85; Celtic; SCO;172
Cameroon;8; Defender; GEREMI; NJITAP FOTSO; Geremi Sorelle; NJITAP;20-dic.-78; Ankaragucu; TUR;177
Cameroon;9; Forward; Samuel ETOO; ETO'O FILS; Samuel; ETO'O;10-mar.-81; Inter; ITA;178
Cameroon;10; Forward; Achille EMANA; EMANA EDZIMBI; Achille; EMANA;05-jun.-82; Betis Sevilla; ESP;180
Cameroon;11; Midfielder; Jean MAKOUN; MAKOUN; Jean II; MAKOUN;29-may.-83; Lyon; FRA;170
Cameroon;12; Defender; Gaetan BONG; BONG; Thomas Gaëtan; BONG;25-abr.-88; Valenciennes; FRA;183
Cameroon;13; Forward; Eric CHOUPO MOTING; CHOUPO MOTING; Eric Maxim; CHOUPO - MOTING;23-mar.-89; Nuremberg; GER;190
Cameroon;14; Defender; Aurelien CHEDJOU; CHEDJOU FONGANG; Aurelien Bayard; CHEDJOU;20-jun.-85; Lille; FRA;185
Cameroon;15; Forward; Pierre WEBO; WEBO KOUAMO; Pierre Achille; WEBO;20-ene.-82; Mallorca; ESP;180
Cameroon;16; Goalkeeper; Souleymanou HAMIDOU; HAMIDOU; Souleymanou; SOULEYMANOU;22-nov.-73; Kayserispor; TUR;187
Cameroon;17; Forward; Mohamadou IDRISSOU; IDRISSOU; Mohamadou; IDRISSOU;08-mar.-80; SC Freiburg; GER;190
Cameroon;18; Midfielder; Eyong ENOH; TARKANG ENOH; Eyong; EYONG;23-mar.-86; Ajax; NED;180
Cameroon;19; Defender; Stephane MBIA; MBIA ETOUNDI; Stephane; MBIA;20-may.-86; Marseille; FRA;190
Cameroon;20; Midfielder; Georges MANDJECK; MANDJECK; Georges Constant; MANDJECK;09-dic.-88; Kaiserslautern; GER;181
Cameroon;21; Midfielder; Joel MATIP; MATIP JOB; Joel Andre; MATIP;08-ago.-91; Schalke 04; GER;194
Cameroon;22; Goalkeeper; Guy NDY; NDY ASSEMBE; Guy Roland; NDY ASSEMBE;28-feb.-86; Valenciennes; FRA;185
Cameroon;23; Forward; Vincent ABOUBAKAR; ABOUBAKAR; Vincent; ABOUBAKAR;22-ene.-92; Coton Sport; CMR;176
Chile;1; Goalkeeper; Claudio BRAVO; BRAVO MUNOZ; Claudio Andres; BRAVO;13-abr.-83; Real Sociedad; ESP;183
Chile;2; Defender; Ismael FUENTES; FUENTES CASTRO; Ismael Ignacio; FUENTES;04-ago.-81; Univ. Catolica; CHI;181
Chile;3; Defender; Waldo PONCE; PONCE CARRIZO; Waldo Alonso; PONCE;04-dic.-82; Univ. Catolica; CHI;183
Chile;4; Defender; Mauricio ISLA; ISLA ISLA; Mauricio Anibal; ISLA;12-jun.-88; Udinese; ITA;177
Chile;5; Defender; Pablo CONTRERAS; CONTRERAS FICA; Pablo Andres; CONTRERAS;11-sep.-78; PAOK; GRE;178
Chile;6; Midfielder; Carlos CARMONA; CARMONA TELLO; Carlos Emilio; CARMONA;21-feb.-87; Reggina; ITA;179
Chile;7; Forward; Alexis SANCHEZ; SANCHEZ SANCHEZ; Alexis Alejandro; SANCHEZ;19-dic.-88; Udinese; ITA;168
Chile;8; Midfielder; Arturo VIDAL; VIDAL PARDO; Arturo Erasmo; VIDAL;22-may.-87; Bayer Leverkusen; GER;178
Chile;9; Forward; Humberto SUAZO; SUAZO PONTIVO; Humberto Andres; SUAZO;10-may.-81; Zaragoza; ESP;171
Chile;10; Midfielder; Jorge VALDIVIA; VALDIVIA TORO; Jorge Luis; VALDIVIA;19-oct.-83; Al Ain; UAE;173
Chile;11; Forward; Mark GONZALEZ; GONZALEZ HOFFMANN; Mark Dennis M.; GONZALEZ;10-jul.-84; CSKA Moscow; RUS;175
Chile;12; Goalkeeper; Miguel PINTO; PINTO JEREZ; Miguel Angel; PINTO;04-jul.-83; Univ. de Chile; CHI;180
Chile;13; Midfielder; Marco ESTRADA; ESTRADA QUINTEROS; Marco Andres; ESTRADA;28-may.-83; Univ. de Chile; CHI;174
Chile;14; Midfielder; Matias FERNANDEZ; FERNANDEZ FERNANDEZ; Matias Ariel; FERNANDEZ;15-may.-86; Sporting Lisbon; POR;176
Chile;15; Forward; Jean BEAUSEJOUR; BEAUSEJOUR COLIQUEO; Jean Andre; BEAUSEJOUR;01-jun.-84; America; MEX;178
Chile;16; Forward; Fabian ORELLANA; ORELLANA VALENZUELA; Fabian Ariel; ORELLANA;27-ene.-86; Xerez; ESP;168
Chile;17; Defender; Gary MEDEL; MEDEL SOTO; Gary Alexis; MEDEL;03-ago.-87; Boca Juniors; ARG;171
Chile;18; Defender; Gonzalo JARA; JARA REYES; Gonzalo Alejandro; JARA;29-ago.-85; West Bromwich Albion; ENG;177
Chile;19; Midfielder; Gonzalo FIERRO; FIERRO CANIULLAN; Gonzalo Antonio; FIERRO;21-mar.-83; Flamengo; BRA;171
Chile;20; Midfielder; Rodrigo MILLAR; MILLAR CARVAJAL; Rodrigo Javier; MILLAR;03-nov.-81; Colo Colo; CHI;182
Chile;21; Midfielder; Rodrigo TELLO; TELLO VALENZUELA; Rodrigo Alvaro; TELLO;14-oct.-79; Besiktas; TUR;171
Chile;22; Forward; Esteban PAREDES; PAREDES QUINTANILLA; Esteban Efrain; PAREDES;01-ago.-80; Colo Colo; CHI;179
Chile;23; Goalkeeper; Luis MARIN; MARIN BARAHONA; Luis Antonio; MARIN;18-may.-83; Union Espanola; CHI;186
Côte d'Ivoire;1; Goalkeeper; Boubacar BARRY; BARRY; Boubacar; BARRY;30-dic.-79; Lokeren; BEL;180
Côte d'Ivoire;2; Defender; Brou ANGOUA; ANGOUA; Brou Benjamin; ANGOUA;28-nov.-86; Valenciennes; FRA;178
Côte d'Ivoire;3; Defender; Arthur BOKA; BOKA; Etienne Arthur; BOKA;02-abr.-83; VfB Stuttgart; GER;166
Côte d'Ivoire;4; Defender; Kolo TOURE; TOURE; Kolo Habib; TOURE KOLO;19-mar.-81; Manchester City; ENG;183
Côte d'Ivoire;5; Midfielder; Didier ZOKORA; ZOKORA; Alain Didier Deguy; ZOKORA;14-dic.-80; Sevilla FC; ESP;183
Côte d'Ivoire;6; Defender; Steve GOHOURI; GOHOURI; Lohore Steve Ulrich; GOHOURI;08-feb.-81; Wigan; ENG;187
Côte d'Ivoire;7; Forward; Seydou DOUMBIA; DOUMBIA; Seydou; DOUMBIA;31-dic.-87; Young Boys; SUI;183
Côte d'Ivoire;8; Forward; Salomon KALOU; KALOU; Salomon Armand Magloire; KALOU;05-ago.-85; Chelsea; ENG;175
Côte d'Ivoire;9; Midfielder; Ismael TIOTE; TIOTE CHEIK; Ismael; TIOTE;21-jun.-86; Twente Enschede; NED;175
Côte d'Ivoire;10; Forward; GERVINHO; YAO KOUASSI; Gervais; GERVINHO;27-may.-87; Lille; FRA;179
Côte d'Ivoire;11; Forward; Didier DROGBA; DROGBA TEBILY; Didier Yves; DROGBA;11-mar.-78; Chelsea; ENG;180
Côte d'Ivoire;12; Midfielder; Jean Jacques GOSSO; GOSSO; Jean Jacques; GOSSO;15-mar.-83; Monaco; FRA;177
Côte d'Ivoire;13; Midfielder; ROMARIC; N'DRI; Koffi Christian Romaric; ROMARIC;04-jun.-83; Sevilla FC; ESP;187
Côte d'Ivoire;14; Midfielder; Emmanuel KONE; KONE KOUAMATIEN; Emmanuel; KONE;31-dic.-86; International; ROU;177
Côte d'Ivoire;15; Forward; Aruna DINDANE; DINDANE; Aruna; DINDANE;26-nov.-80; Portsmouth; ENG;174
Côte d'Ivoire;16; Goalkeeper; Aristide ZOGBO; ZOGBO; Aristide Benoit; ZOGBO;30-dic.-81; Maccabi Netanya; ISR;183
Côte d'Ivoire;17; Defender; Siaka TIENE; TIENE; Siaka; TIENE;22-feb.-82; Valenciennes; FRA;176
Côte d'Ivoire;18; Forward; Kader KEITA; KEITA; Abdul Kader; KEITA;06-ago.-81; Lyon; FRA;184
Côte d'Ivoire;19; Midfielder; Yaya TOURE; TOURE; Yaya Gnegneri; TOURE YAYA;13-may.-83; Barcelona; ESP;189
Côte d'Ivoire;20; Defender; Guy DEMEL; DEMEL; Guy; DEMEL;13-jun.-81; Hamburger SV; GER;191
Côte d'Ivoire;21; Defender; Emmanuel EBOUE; EBOUE; Emmanuel; EBOUE;04-jun.-83; Arsenal; ENG;178
Côte d'Ivoire;22; Defender; Souleymane BAMBA; BAMBA; Souleman; BAMBA;13-ene.-85; Hibernian; SCO;190
Côte d'Ivoire;23; Goalkeeper; Daniel YEBOAH; YEBOAH; Daniel Techi; YEBOAH;13-nov.-84; ASEC Mimosas; CIV;187
Denmark;1; Goalkeeper; Thomas SORENSEN; SORENSEN; Thomas Løvendahl; SØRENSEN;12-jun.-76; Stoke City; ENG;185
Denmark;2; Midfielder; Christian POULSEN; POULSEN; Christian Bjørnshøj; C. POULSEN;28-feb.-80; Juventus; ITA;182
Denmark;3; Defender; Simon KJAER; KJAER; Simon Thorup; KJÆR;26-mar.-89; Palermo; ITA;191
Denmark;4; Defender; Daniel AGGER; AGGER; Daniel Munthe; AGGER;12-dic.-84; Liverpool; ENG;188
Denmark;5; Midfielder; William KVIST; KVIST JØRGENSEN; William; KVIST;24-feb.-85; Copenhagen; DEN;185
Denmark;6; Defender; Lars JACOBSEN; JACOBSEN; Lars Christian; L. JACOBSEN;20-sep.-79; Blackburn Rovers; ENG;184
Denmark;7; Midfielder; Daniel JENSEN; JENSEN; Daniel Monberg; JENSEN;25-jun.-79; Werder Bremen; GER;180
Denmark;8; Forward; Jesper GRONKJAER; GRONKJAER; Jesper; GRØNKJÆR;12-ago.-77; Copenhagen; DEN;187
Denmark;9; Forward; Jon Dahl TOMASSON; TOMASSON; Jon Dahl; TOMASSON;29-ago.-76; Feyenoord; NED;182
Denmark;10; Midfielder; Martin JORGENSEN; JORGENSEN; Lars Martin; JØRGENSEN;06-oct.-76; AGF Aarhus; DEN;180
Denmark;11; Forward; Nicklas BENDTNER; BENDTNER; Nicklas; BENDTNER;16-ene.-88; Arsenal; ENG;194
Denmark;12; Midfielder; Thomas KAHLENBERG; KAHLENBERG; Thomas; KAHLENBERG;20-mar.-83; Wolfsburg; GER;185
Denmark;13; Defender; Per KROLDRUP; KROLDRUP; Per Billeskov; KRØLDRUP;31-jul.-79; Fiorentina; ITA;194
Denmark;14; Midfielder; Jakob POULSEN; POULSEN; Jakob Bendix Uhd; J. POULSEN;07-jul.-83; AGF Aarhus; DEN;185
Denmark;15; Defender; Simon POULSEN; BUSK POULSEN; Simon; S.B. POULSEN;07-abr.-84; AZ Alkmaar; NED;187
Denmark;16; Goalkeeper; Stephan ANDERSEN; ANDERSEN; Stephan Maigaard; ANDERSEN;26-nov.-81; Brondby; DEN;188
Denmark;17; Forward; Mikkel BECKMANN; BECKMANN; Mikkel; BECKMANN;24-oct.-83; Randers; DEN;178
Denmark;18; Forward; Soren LARSEN; LARSEN; Soren; LARSEN;06-sep.-81; MSV Duisburg; GER;194
Denmark;19; Forward; Dennis ROMMEDAHL; ROMMEDAHL; Dennis; ROMMEDAHL;22-jul.-78; Ajax; NED;178
Denmark;20; Midfielder; Thomas ENEVOLDSEN; ENEVOLDSEN; Thomas; ENEVOLDSEN;27-jul.-87; Groningen; NED;182
Denmark;21; Midfielder; Christian ERIKSEN; ERIKSEN; Christian Dannemann; ERIKSEN;14-feb.-92; Ajax; NED;181
Denmark;22; Goalkeeper; Jesper CHRISTIANSEN; RINGSBORG CHRISTIANSEN; Jesper; CHRISTIANSEN;24-abr.-78; Copenhagen; DEN;192
Denmark;23; Defender; Patrick MTILIGA; MTILIGA; Patrick Jan; MTILIGA;28-ene.-81; Malaga; ESP;170
England;1; Goalkeeper; David JAMES; JAMES; David Benjamin; JAMES;01-ago.-70; Portsmouth; ENG;196
England;2; Defender; Glen JOHNSON; JOHNSON; Glen; JOHNSON;23-ago.-84; Liverpool; ENG;178
England;3; Defender; Ashley COLE; COLE; Ashley; A COLE;20-dic.-80; Chelsea; ENG;173
England;4; Midfielder; Steven GERRARD; GERRARD; Steven George; GERRARD;30-may.-80; Liverpool; ENG;185
England;5; Defender; Rio FERDINAND; FERDINAND; Rio Gavin; FERDINAND;07-nov.-78; Manchester Utd.; ENG;188
England;6; Defender; John TERRY; TERRY; John George; TERRY;07-dic.-80; Chelsea; ENG;188
England;7; Midfielder; Aaron LENNON; LENNON; Aaron; LENNON;16-abr.-87; Tottenham Hotspur; ENG;165
England;8; Midfielder; Frank LAMPARD; LAMPARD; Frank James; LAMPARD;20-jun.-78; Chelsea; ENG;183
England;9; Forward; Peter CROUCH; CROUCH; Peter James; CROUCH;30-ene.-81; Tottenham Hotspur; ENG;201
England;10; Forward; Wayne ROONEY; ROONEY; Wayne Mark; ROONEY;24-oct.-85; Manchester Utd.; ENG;178
England;11; Midfielder; Joe COLE; COLE; Joseph John; J COLE;08-nov.-81; Chelsea; ENG;175
England;12; Goalkeeper; Robert GREEN; GREEN; Robert Paul; GREEN;18-ene.-80; West Ham Utd.; ENG;187
England;13; Defender; Stephen WARNOCK; WARNOCK; Stephen; WARNOCK;12-dic.-81; Aston Villa; ENG;175
England;14; Midfielder; Gareth BARRY; BARRY; Gareth; BARRY;23-feb.-81; Manchester City; ENG;180
England;15; Defender; Matt UPSON; UPSON; Matthew; UPSON;18-abr.-79; West Ham Utd.; ENG;185
England;16; Midfielder; James MILNER; MILNER; James; MILNER;04-ene.-86; Aston Villa; ENG;170
England;17; Midfielder; Shaun WRIGHT-PHILLIPS; WRIGHT-PHILLIPS; Shaun Cameron; WRIGHT-PHILLIPS;25-oct.-81; Manchester City; ENG;168
England;18; Defender; Jamie CARRAGHER; CARRAGHER; James Lee; CARRAGHER;28-ene.-78; Liverpool; ENG;185
England;19; Forward; Jermain DEFOE; DEFOE; Jermain Colin; DEFOE;07-oct.-82; Tottenham Hotspur; ENG;170
England;20; Defender; Ledley KING; KING; Ledley Brenton; KING;12-oct.-80; Tottenham Hotspur; ENG;188
England;21; Forward; Emile HESKEY; HESKEY; Emile William Ivanhoe; HESKEY;11-ene.-78; Aston Villa; ENG;188
England;22; Midfielder; Michael CARRICK; CARRICK; Michael; CARRICK;28-jul.-81; Manchester Utd.; ENG;183
England;23; Goalkeeper; Joe HART; HART; Joe; HART;19-abr.-87; Birmingham City; ENG;191
France;1; Goalkeeper; Hugo LLORIS; LLORIS; Hugo; LLORIS;26-dic.-86; Lyon; FRA;188
France;2; Defender; Bakari SAGNA; SAGNA; Bakari; SAGNA;14-feb.-83; Arsenal; ENG;175
France;3; Defender; Eric ABIDAL; ABIDAL; Eric Sylvain; ABIDAL;11-sep.-79; Barcelona; ESP;180
France;4; Defender; Anthony REVEILLERE; REVEILLERE; Anthony; REVEILLERE;10-nov.-79; Lyon; FRA;181
France;5; Defender; William GALLAS; GALLAS; William Eric; GALLAS;17-ago.-77; Arsenal; ENG;181
