index,Date,Time,Location,Operator,Type,Fatalities,Summary
56,09/06/1921,Desconocida,Paris_ France,Franco-Roumaine,Potez IX,5.0,Crashed while making an approach to Le Bourget Airport in Paris.
57,12/05/1921,Desconocida,Near Murchinson River_ Australia,West Australian Airways,Bristol 28 Tourer,3.0,Desconocido
58,01/14/1922,Desconocida,Paris_ France,Handley Page Transport,Handley Page O/10,5.0,Crashed at Le Bourget field.
59,02/21/1922,Desconocida,Near Norfolk_ Virginia,Military - U.S. Army Air Service,Dirigible Roma (airship),34.0,Crashed from a height of 500 ft. after experiencing control problems cause by malfunctioning controls.
60,04/07/1922,Desconocida,Grandvilliers_ France,Daimler Airways / Grands Express Aeriens,de Havilland DH-18 / Farman F-60 Goliath,7.0,A midair collision occurred in poor visibility approximately 18 miles north of Beauvais_ France. This was the  first commercial midair collision in aviation history. Two killed on the de Havilland_ five on the Faman F-60.
61,04/08/1922,Desconocida,Pao Ting Fou_ China,,,17.0,All seventeen aboard were Chinese nationals.
62,04/13/1922,Desconocida,Brooklands_ England,Vickers,Vickers Viking,3.0,Desconocido
63,10/01/1925,Desconocida,Nittany Mt_ Ohio,US Aerial Mail Service,De Havilland DH-4,1.0,Desconocido
64,06/03/1922,Desconocida,Off Folkestone_ Kent_ England,Cie des Messageries Aeriennes,Bleriot Spad 27,3.0,Desconocido
65,07/26/1922,Desconocida,Cadix_ Spain,Grands Express Aeriens,Breguet 14,3.0,Desconocido
66,09/07/1922,Desconocida,Indianapolis_ Indiana,US Aerial Mail Service,De Havilland DH-4,1.0,Desconocido
67,10/02/1922,Desconocida,Venice_ Italy,Desconocido,de Havilland DH-9,4.0,Desconocido
68,10/25/1922,Desconocida,Larache_ Morocco,Grands Express Aeriens,Breguet 14,2.0,Desconocido
69,12/03/1922,Desconocida,Fez_ Morocco,Grands Express Aeriens,Breguet 14,1.0,Desconocido
70,01/10/1923,Desconocida,Ajaccio_ France,Amee de l'Air,Lioré-et-Olivier H-13,3.0,Desconocido
71,01/17/1923,Desconocida,Barcelona_ Spain,Grands Express Aeriens,Breguet 14,1.0,Desconocido
72,01/18/1923,Desconocida,Cheyenne_ Wyoming,US Aerial Mail Service,De Havilland DH-4,1.0,Desconocido
73,02/26/1923,Desconocida,Meadville_ Pennsylvania,US Aerial Mail Service,De Havilland DH-4,1.0,Desconocido
74,05/14/1923,Desconocida,Monsures_ France,Grands Express Aeriens,Farman F-60 Goliath,6.0,Desconocido
75,08/27/1923,Desconocida,Bucharest_ Romania,Campagnie France Roumaine,Blériot Spad 46,2.0,Desconocido
76,09/07/1923,Desconocida,Colton_ Ohio,US Aerial Mail Service,De Havilland DH-4,1.0,Desconocido
77,09/14/1923,Desconocida,Berks_ England,Daimler Airways,de Havilland DH-34,6.0,Desconocido
78,11/18/1923,Desconocida,Russia,CCCP,Junkers F-13,2.0,Desconocido
79,12/06/1923,Desconocida,Castalia_ Ohio,US Aerial Mail Service,De Havilland DH-4,1.0,Desconocido
80,12/23/1923,2:30,Over the Mediterranean Sea,Military - French Navy,Zeppelin Dixmunde (airship),52.0,Crashed while on a flight from Toulon_ France to Algiers_ Algeria.  The last known radio contact reported the ship nearly out of fuel and battling strong winds.  Struck by lightning.
81,12/24/1923,Desconocida,Egbert_ WY,US Aerial Mail Service,De Havilland DH-4,1.0,Desconocido
82,03/07/1924,Desconocida,Grampian_ Pennsylvania,US Aerial Mail Service,De Havilland DH-4,1.0,Desconocido
83,04/24/1924,Desconocida,Over the English Channel,KLM Royal Dutch Airlines,Fokker F.III,3.0,Desconocido
84,06/08/1924,Desconocida,Barranquilla_ Colombia,SCADTA,Junkers F-13,3.0,Desconocido
85,08/01/1924,Desconocida,United States,US Aerial Mail Service,De Havilland DH-4,1.0,Desconocido
86,11/06/1924,Desconocida,Cabrerolles_ France,Grands Express Aeriens,Desconocido,1.0,Desconocido
87,12/21/1924,Desconocida,Goshen_ Indiana,US Aerial Mail Service,De Havilland DH-4,1.0,Desconocido
88,12/24/1924,Desconocida,Purley_ England,Imperial Airways,de Havilland DH-34B,8.0,Shortly after taking off_ witnesses observed a puff of white smoke after which the plane nose-dived into the ground. Fuel starvation. Captain Stewart and seven passengers were killed in an attempted forced landing.
89,03/22/1925,Desconocida,Near Tiflies_ Georgia_ USSR,Zakavia,Junkers F-13,5.0,Desconocido
90,04/25/1925,Desconocida,Alicante_ Spain,Grands Express Aeriens,Breguet 14,4.0,Desconocido
91,05/25/1925,Desconocida,Alicante_ Spain,Lignes Aeriennes Latecoere,Breguet 14,2.0,Desconocido
92,06/25/1925,Desconocida,Landrécies_ France,KLM Royal Dutch Airlines,Fokker (KLM)  F.III,4.0,Crashed in poor weather.
93,06/26/1925,Desconocida,Alicante_ Spain,Grands Express Aeriens,Lioré-et-Olivier H-13,2.0,Desconocido
94,07/20/1925,Desconocida,Rosas_ Spain,Lignes Aeriennes Latecoere,Breguet 14,1.0,Desconocido
95,07/24/1925,Desconocida,Budapest_ Hungary,CIDNA,Potez IX,1.0,Desconocido
96,09/03/1925,5:30,Caldwell_ Ohio,Military - U.S. Navy,Dirigible ZR-1 Shenandoah (airship),14.0,The Shenandoah was flying over Southern Ohio when she abruptly encountered violent atmosphericonditions (thunderstorms). Powerful air currents buffeted her so severely that her crew was unable to maintain control. Rising rapidly above her pressure height_ then falling and rising again_ her hull structure was overstressed amidships_ breaking the airship in two. Shenandoah's external control car and two engine cars fell free_ carrying the dirigible's commanding officer and several other men to their deaths. The stern section came down nearby_ while several men were able to fly the bow section to ground as a free balloon.
97,09/07/1925,Desconocida,Toul_ France,CIDNA,Desconocido,3.0,Desconocido
98,11/14/1925,Desconocida,Off Boulogne-sur-Mer_ France,Air Union,Farman F-60 Goliath,2.0,Desconocido
